title,salePrice,normalPrice,savings,metacriticScore,steamRatingText,dealRating,releaseDate
Rebel Galaxy,1.99,19.99,90.0,75,Very Positive,9.1,2015-10-20
Sid Meier's Civilization V,2.99,29.99,90.0,90,Overwhelmingly Positive,9.0,2010-09-21
Mythic Ocean,2.99,14.99,80.1,84,Very Positive,8.9,2020-01-09
Deus Ex: Human Revolution - Director's Cut,2.99,19.99,85.0,91,Very Positive,8.8,2013-10-22
Sid Meier's Civilization IV,3.99,19.99,80.0,94,Very Positive,8.7,2005-10-25
Sid Meiers Civilization VI,5.99,59.99,90.0,88,Very Positive,8.7,2016-10-20
BioShock,4.99,19.99,75.0,96,Very Positive,8.6,2007-08-21
Lonely Mountains: Downhill,3.99,19.99,80.0,80,Very Positive,8.6,2019-10-23
Wanderlust Travel Stories,2.99,14.99,80.1,79,Very Positive,8.6,2019-09-26
BioShock 2,2.99,19.99,85.0,88,Very Positive,8.5,2010-02-09
Tomb Raider: Anniversary,0.98,8.99,89.1,83,Mostly Positive,8.4,2007-06-05
Worms W.M.D,1.49,29.99,95.0,76,Very Positive,8.4,2016-08-23
Rebel Galaxy Outlaw,5.99,29.99,80.0,77,Mixed,8.3,2019-08-13
NBA 2K26,17.49,69.99,75.0,83,Mostly Positive,8.3,2025-09-05
Make Way,3.74,14.99,75.1,83,Very Positive,8.3,2023-12-04
Soul Calibur VI,14.39,89.99,84.0,80,Very Positive,8.3,2018-10-18
Tomb Raider: Underworld,0.98,8.99,89.1,80,Mostly Positive,8.2,2008-11-18
BioShock Infinite,7.49,29.99,75.0,94,Very Positive,8.2,2013-03-25
Rise of the Tomb Raider,4.49,29.99,85.0,86,Very Positive,8.2,2016-01-28
Tomb Raider: Legend,0.97,6.99,86.1,82,Very Positive,8.1,2006-04-11
